"Part";"Value";"Device";"Package";"Description";"3D_PACKAGE";"ALLIED_NUMBER";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"OTHER_PART_NUMBER";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";"SUPPLIER_NAME";
"C1";"100n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C2";"4u7";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C3";"10n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C4";"1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C5";"100n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C6";"100n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C7";"100n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C8";"10u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C9";"100n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"IC1";"AEAT-8800-Q24";"AEAT-8800-Q24";"QFN65P500X500X90-25N";"16-BIT PROG ANG ENCODER";"";"";"AEAT-8800-Q24";"";"16-BIT PROG ANG ENCODER";"0.9mm";"Avago Technologies";"AEAT-8800-Q24";"";"";"";"";"";
"IC2";"STM32F103C8T6";"STM32_LQFP48_7X7";"QFP50P900X900X160-48N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"";"DF65-4P-1.7V(21)";"DF654P17V21";"Hirose DF Series, Series Number 65, 1.7mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 4A";"";"";"";"";"Hirose DF Series, Series Number 65, 1.7mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 4A";"1mm";"Hirose";"DF65-4P-1.7V(21)";"";"8735161P";"";"";"RS";
"J2";"SM05B-SRSS-TB_(LF)(SN)";"SM05B-SRSS-TB_(LF)(SN)";"SM05B-SRSS-TB";"JST SH Series, 1mm Pitch 5 Way 1 Row Right Angle PCB Header, Solder Termination, 1A";"";"";"";"";"JST SH Series, 1mm Pitch 5 Way 1 Row Right Angle PCB Header, Solder Termination, 1A";"mm";"JST (JAPAN SOLDERLESS TERMINALS)";"SM05B-SRSS-TB(LF)(SN)";"";"";"";"";"RS";
"R1";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ4";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"";"SKRPACE010";"SMT(4.2X3.2)";"Tactile Switches 4.2x3.2x2.5mm 260gf";"";"";"";"";"";"";"";"";"";"";"";"";"";
